"cst","csts","des","al","kt","nik"
"01A81 ",M1198 ,MORO SENENG/YEN-YEN           ,JL. MONGINSIDI 18                                           ,KEDIRI         ,""
"01A81 ",K0234 ,MORODADI                      ,                                                            ,KARTASURA      ,""
"01A81 ",M0061 ,MORODADI                      ,JL. MAWAR STAND PASAR LEGI 4                                ,BLITAR         ,""
"01A81 ",S0002 ,MPK                           ,JL. DANAU LINDU 17 AB                                       ,PALU           ,""
"01A81 ",W0012 ,MUARA                         ,TERMINAL BERTAIS N-1                                        ,CAKRA          ,""
"01A81 ",K0004 ,MUDA                          ,JL. PEMUDA 133                                              ,KLATEN         ,""
"01A81 ",M1082 ,MUIMA SUKOBANA                ,                                                            ,SAMPANG        ,""
"01A81 ",M0248 ,MULIA                         ,                                                            ,MAYANG         ,""
"01A81 ",X0281 ,MULIA                         ,                                                            ,RUTENG         ,""
"01A81 ",P0066 ,MULIA ABADI(LM)               ,JL. PASAR BARU INDAH BLOK B-9                               ,BANJARMASIN    ,""
"01A81 ",M0095 ,MULIANA                       ,                                                            ,KALISAT        ,""
"01A81 ",M0173 ,MURAH                         ,                                                            ,NGANJUK        ,""
"01A81 ",M0137 ,MURNI                         ,                                                            ,NGANJUK        ,""
"01A81 ",M1698 ,MURNI                         ,                                                            ,SUMENEP        ,""
"01A81 ",M0013 ,MUSTIKA JAYA                  ,                                                            ,JEMBER         ,""
"01A81 ",X0238 ,MZ                            ,                                                            ,BAJAWA         ,""
"01A81 ",U0011 ,NA                            ,                                                            ,UJUNG PANDANG  ,""
"01A81 ",U0076 ,NA                            ,                                                            ,MAKASSAR       ,""
"01A81 ",R0146 ,NAGA SAKTI                    ,                                                            ,MENADO         ,""
"01A81 ",M0789 ,NASIONAL                      ,                                                            ,LUMAJANG       ,""
"01A81 ",X0224 ,NASIONAL (NN)                 ,                                                            ,TIMUR KUPANG   ,""
"01A81 ",M1593 ,NAWAWI                        ,                                                            ,MADURA         ,""
"01A81 ",T0047 ,NENI                          ,                                                            ,BAU-BAU        ,""
"01A81 ",X0203 ,NIRWANA                       ,                                                            ,RUTENG         ,""
"01A81 ",X0196 ,NN                            ,                                                            ,TIMUR KUPANG   ,""
"01A81 ",P0003 ,NN (SURYA BARU)               ,JL. PASAR BARU 78                                           ,BANJARMASIN    ,""
"01A81 ",M1717 ,NORKOYIN                      ,                                                            ,SUMENEP        ,""
"01A81 ",M1728 ,NURKOYIN                      ,                                                            ,SUMENEP        ,""
"01A81 ",V0021 ,NUSANTARA                     ,JL. AIRLANGGA 41                                            ,SINGARAJA      ,""
"01A81 ",Y0061 ,NUSANTARA WEDA (YUNUS)        ,                                                            ,TERNATE        ,""
"01A81 ",M0557 ,NYOTO                         ,JL. RAYA PASAR BARAT LEGI                                   ,MADIUN         ,""
